"point_id","x","y","slaves_1860","slaves_1850","slaves_1840","slaves_1830","slaves_1820","slaves_1810","slaves_1800","slaves_1790","peak_slave","peak_year","total_1790","total_1800","total_1810","total_1820","total_1830","total_1840","total_1850","total_1860","total_1870"
10203,371161,-366591,1406.3939209,515.835266113,196.191253662,54.9747772217,0.6096740365,0.174214,0,0,1406.3939209,1860,0,0,1.42307,4.99685,263.586,498.442,1148.18,2946.42,3767.55
10204,396607,-366591,1116.56677246,371.90246582,103.491539001,42.779335022,4.6077203751,0.969752,0,0,1116.56677246,1860,0,0,7.92144,32.6161,179.747,315.807,802.657,2132.61,2298.26
10205,422053,-366591,994.367980957,310.653137207,65.1482467651,37.5769996643,8.4513463974,1.77869,0,0,994.367980957,1860,0,0,14.5293,59.8235,145.216,243.613,659.509,1783.95,1681.26
10206,447499,-366591,1139.1817627,338.830657959,85.2151107788,36.650604248,7.7074151039,1.9456,0,0,1139.1817627,1860,0,0,15.8926,57.4148,143.756,332.477,847.79,2008.4,2222.34
10207,472945,-366591,2174.32885742,571.762329102,189.574951172,9.6290798187,1.4498411417,0.498277,0,0,2174.32885742,1860,0,0,4.07019,11.9688,61.6214,535.865,1039.47,2867.4,2915.45
10208,498391,-366591,2059.05932617,583.911499023,211.536483765,0,0,0,0,0,2059.05932617,1860,0,0,0,0,0,497.031,1118.68,2685.81,2875.1
10209,523837,-366591,1545.33007813,729.779052734,401.048187256,0,0,0,0,0,1545.33007813,1860,0,0,0,0,0,768.46,1313.58,2375.72,2720.62
10210,549283,-366591,2017.02062988,1201.61694336,714.774780273,0,0,0,0,0,2017.02062988,1860,0,0,0,0,0,1449.41,2277.06,3317.18,3971.59
10211,574729,-366591,3238.26831055,2352.73217773,1519.60302734,0,0,0,0,0,3238.26831055,1860,0,0,0,0,0,3319.56,4719.54,5758.88,7030.98
10212,600175,-366591,1454.47485352,2114.70141602,1140.76318359,0,0,0,0,0,2114.70141602,1850,0,0,0,0,0,2575.55,4546.33,4523.19,5188.96
10213,625621,-366591,1791.04443359,1549.90917969,292.643463135,0,0,0,0,0,1791.04443359,1860,0,0,0,0,0,915.736,4184.02,5068.36,5411.48
10214,651067,-366591,3103.03662109,1534.24157715,245.871643066,0,0,0,0,0,3103.03662109,1860,0,0,0,0,0,825.263,4133.15,6082.31,7062.52
10215,676513,-366591,3799.43432617,3307.91259766,1113.79492188,69.3555603027,22.4475803375,0,0,0,3799.43432617,1860,0,0,0,117.011,283.968,2614.15,6283.99,6624.73,7210.38
10216,701959,-366591,3805.1550293,3496.26171875,1225.36523438,472.763183594,149.859542847,0,0,0,3805.1550293,1860,0,0,0,781.165,1961.69,2849.6,6434.66,6529.07,6981.69
10217,727405,-366591,309.589294434,219.156616211,181.384033203,151.314865112,0,0,0,0,309.589294434,1860,0,0,0,0,1023.39,1406.24,1887.6,2691.24,3421.09
10218,752851,-366591,342.913116455,243.69291687,195.498413086,150.30531311,0.3476348519,0,0,0,342.913116455,1860,0,0,0,1.22513,1018.36,1477.99,2047.76,2861.25,2375.09
10219,778297,-366591,170.439682007,100.131248474,84.8659057617,54.2607421875,10.5449237823,0,0,0,170.439682007,1860,0,0,0,37.1624,484.61,870.369,1425,2189.14,1844.71
10220,803743,-366591,135.51739502,69.1334915161,30.141500473,24.0170001984,22.1644668579,0,0,0,135.51739502,1860,0,0,0,91.536,314.793,575.974,1337.18,2110.34,1747.19
10221,829189,-366591,264.183380127,187.615875244,121.823379517,137.575302124,7.4558982849,0,0,0,264.183380127,1860,0,0,0,102.892,753.219,926.026,1618.26,2388.92,2125.94
10222,854634,-366591,312.968383789,240.543121338,184.623092651,192.06401062,21.5518493652,0,0,0,312.968383789,1860,0,0,0,273.776,1218.74,1549.68,2004.24,2854.07,2680.65
10223,880080,-366591,442.83795166,326.570495605,273.891387939,258.597381592,113.752220154,0,0,0,442.83795166,1860,0,0,0,914.252,1535.47,1734.83,2174.82,3389.99,3233.65
10224,905526,-366591,721.727600098,577.835571289,453.267608643,252.90763855,114.089569092,0,0,0,721.727600098,1860,0,0,0,859.488,1309.47,2252.61,2821.9,4100.18,4215.77
