"county","total_1960","black_1960","total_1910","black_1910","total_2010","black_2010"
37097,62526,11125,34315,7456,159437,19047
36083,142585,2366,122276,798,159429,10338
25015,103229,342,63327,281,158080,3925
41017,23100,18,NULL,NULL,157733,568
48209,19934,1101,15518,2165,157107,5536
34011,106850,13028,55153,2641,156898,31741
47163,114139,2471,28120,1535,156823,3329
26021,149865,12688,53622,713,156813,24037
50007,74425,215,42447,1114,156545,3319
13021,141249,47131,56646,27481,155547,81116
15009,42576,25,NULL,NULL,154834,870
36093,152896,2171,88235,288,154727,14710
37035,73191,6770,27918,3471,154358,13041
42027,78580,611,43424,265,153990,4638
23019,126346,746,85285,246,153923,1159
22073,101663,32727,25830,14153,153720,56216
9013,68737,443,26459,109,152691,5011
26115,101120,1938,32917,88,152021,3237
12113,29547,2018,14897,4234,151372,8205
37001,85674,14740,28712,7173,151131,28369
48251,34720,1668,34460,1637,150934,3979
42055,88172,1716,59775,1716,149618,4700
48139,43395,10243,53629,9623,149610,13482
34037,49255,160,26781,168,149265,2677
42107,173027,358,207894,242,148289,3967
17161,150991,4290,70404,822,147546,13289
24043,91219,2585,49617,2113,147430,14133
24017,32572,10835,16386,8572,146551,60031
33013,67785,65,53335,122,146445,1530
12085,16932,3392,NULL,NULL,146318,7842
39045,63912,475,39201,449,146156,8702
18063,40896,253,20840,301,145448,7084
42021,203283,3526,166131,640,143679,5222
13223,13101,1203,14124,1588,142324,24321
37151,61497,5105,29491,3421,141752,8176
28121,34322,12806,23944,14249,141617,26634
12017,9268,1647,6731,3635,141236,3987
1081,49754,18233,32867,19643,140247,31901
5151,91023,10353,15329,4188,139966,30491
13153,39154,8761,23609,17388,139900,39998
28059,55522,10817,15451,5467,139668,30034
18081,43704,370,20394,360,139654,1578
16055,29556,1,22747,44,138494,416
37159,82817,13917,37521,9074,138428,22392
39023,131440,12251,66435,5583,138333,12128
12061,25309,5380,NULL,NULL,138028,12397
18105,59225,704,23426,438,137974,4491
5165,89258,18851,NULL,NULL,137436,68104
48135,90995,4814,1178,0,137130,6141
45041,84438,36484,35671,20340,136885,56506
48329,67717,6265,3464,26,136872,9087
42051,169340,8055,167449,5852,136606,6325
45035,24383,11892,17891,10982,136555,35266
26025,138858,9922,56638,690,136146,14872
17179,99789,14,34027,25,135394,1374
36013,145377,1259,105126,169,134905,3197
37155,89102,26256,51945,22518,134168,32637
55073,88874,18,55054,12,134063,841
37135,42970,10131,15064,4926,133801,15928
42075,90853,350,59565,215,133568,2885
13097,16741,2479,8953,2171,132403,52290
55131,46119,8,23784,6,131887,1155
18095,125819,4976,65224,690,131636,10963
22079,111351,33769,44545,21445,131613,42113
48187,29017,3296,24913,5681,131533,8512
48441,101078,4583,26293,639,131506,9699
48485,123528,8701,16094,612,131500,13811
25003,142135,1422,105259,1149,131219,3572
19013,122482,4850,44865,29,131090,11640
19103,53663,317,25914,65,130882,6305
51179,16876,1954,8070,1720,128961,21881
34019,54107,1128,33569,438,128349,3451
22063,26974,4038,10627,1377,128026,6505
13077,28893,10464,28800,16267,127317,22029
42013,137270,1126,108858,786,127089,2129
44009,59054,1082,24942,838,126979,1482
5131,66685,4540,52278,5410,125744,8019
39173,72596,380,46330,150,125488,3022
39139,117761,6853,47667,253,124475,11709
13073,13423,4770,12328,9198,124053,18439
33017,59799,32,38951,25,123143,1242
47009,57525,2760,20809,1221,123010,3380
47179,64832,2501,28968,2267,122979,4814
37191,82059,30106,35698,15579,122623,38499
51177,13819,3152,9935,3593,122397,18671
23011,89150,99,62863,139,122151,687
36075,86118,194,71664,437,122109,972
48183,69436,15891,14140,7781,121730,24390
22105,59434,20111,29160,9135,121097,36654
48375,115580,7711,12424,149,121073,12365
48181,73043,6421,65996,7753,120877,7081
48381,33913,53,3312,0,120725,2867
1103,60454,7625,33781,8198,119490,14185
45077,46030,4600,25422,5430,119224,7854
21015,21940,149,9420,478,118811,2992
1015,95878,17936,39115,10757,118572,24382
9015,68572,279,48361,425,118428,2617
18035,110938,5762,51414,1460,117671,8146
29097,78863,1049,89673,1368,117404,2267
22015,57622,14241,21738,16735,116979,24461
48367,22880,432,26331,693,116927,1915
53057,51350,68,29241,30,116901,774
13059,45363,11522,23273,11767,116714,30988
41043,58867,14,22662,2,116672,534
42085,127519,5022,77699,621,116638,6726
36045,87835,232,80382,244,116229,5876
42081,109367,1245,80813,1182,116111,5203
55117,86484,6,54888,19,115507,1684
17093,17540,7,10777,51,114736,6585
37085,48236,13032,22174,6442,114678,23973
55063,72465,25,43996,74,114638,1610
39169,75497,1075,38058,70,114520,1712
47189,27668,4117,25394,6303,113993,7297
17099,110800,520,90132,311,113924,2186
21227,45491,4420,30579,6113,113792,10311
17091,92063,8015,40752,315,113449,17187
5045,24303,2602,23708,4460,113237,11568
36089,111239,96,89005,56,111944,2420
22109,60771,10401,28320,11194,111860,21139
18091,95111,4890,45797,338,111467,12001
26005,57729,738,39819,241,111408,1358
17115,118257,6004,54186,906,110768,18027
13045,36451,6987,30855,6383,110527,20089
18019,62795,2821,30260,2745,110232,7661
48451,64630,3114,17882,716,110224,4445
13185,49270,15927,24436,12955,109233,39142
34041,63220,542,43187,364,108692,3818
48091,19844,411,8434,232,108472,1727
36069,68070,960,52286,365,107931,2432
18167,108458,4802,87930,3323,107848,7437
39029,107004,1718,76619,967,107841,2405
26017,107042,587,68238,188,107771,1702
26045,49684,90,30499,74,107759,6811
23001,86312,95,59822,73,107702,3931
41019,68458,31,19674,11,107667,317
45085,74941,34997,38472,28103,107456,50414
37019,20278,7159,14432,5406,107431,12291
22005,27927,8906,23887,11255,107215,23846
5125,28956,1856,16657,1833,107118,4994
37089,36163,1961,16262,1815,106740,3224
13113,8199,2431,10966,3815,106567,21395
39003,103691,7322,56580,1030,106331,12639
21093,67789,4597,22696,1826,105543,12275
17037,51714,259,33457,151,105160,6732
24037,38915,7186,17030,7304,105151,15030
1055,96980,14958,39109,6804,104430,15796
16019,46906,85,NULL,NULL,104234,585
54003,33791,1301,21999,1801,104169,7432
37049,58773,16742,25594,14310,103505,23193
48257,29931,8931,35323,8374,103350,10730
13313,42109,1904,15934,1719,102599,3845
39109,72901,1386,45047,1109,102506,2084
53015,57801,131,12561,9,102410,642
55127,52368,158,29614,64,102228,980
19193,107849,1257,67616,317,102172,2456
55039,75085,54,51610,54,101633,1305
36109,66164,1241,33647,533,101564,4020
1069,50718,13870,32414,9597,101547,26176
39007,93067,2119,59547,217,101497,3586
29071,44566,543,29830,1365,101492,854
42001,51906,330,34319,325,101407,1561
24015,48408,2876,23759,3315,101108,6284
13015,28267,4279,25388,6348,100157,10178
13217,20999,7248,18449,9458,99958,40878
26091,77789,399,47907,245,99892,2539
51085,27550,6960,17200,7040,99863,9304
36079,31722,116,14665,190,99710,2350
29037,29702,307,22973,510,99478,3517
41071,32478,22,18285,6,99193,872
36101,97691,790,83362,357,98990,1540
51003,30969,4545,29871,9673,98970,9600
47011,38324,1994,16336,1717,98963,4219
12055,21338,4457,NULL,NULL,98786,9263
55035,58300,13,32721,33,98736,874
24045,49050,10964,26815,6310,98733,23873
47113,60655,20651,39357,16167,98294,35636
37045,66048,14779,29494,5779,98078,20332
34009,48555,3902,19745,1444,97265,4565
5177,97110,16527,34874,7924,97032,27612
21059,70588,3107,41020,5195,96656,4626
5031,47303,1584,27627,1328,96443,12640
54011,108202,4760,46685,2447,96319,4784
22057,55381,6513,33111,7973,96318,12746
13115,69130,9914,36736,10482,96317,13640
54061,55617,1133,24334,294,96189,3496
5051,46697,4964,27271,4665,96024,7615
37127,61002,24205,33727,14104,95840,35650
12035,4566,1733,NULL,NULL,95696,10884
5174,114773,39290,33190,11617,95535,50878
28089,32904,23630,33505,27298,95203,36368
13095,75680,25922,16035,12049,94565,63470
42097,104138,143,111420,237,94528,1921
51121,32923,1422,17268,2323,94392,3716
36117,67989,1517,50179,194,93772,2887
19061,80048,83,57450,96,93653,2486
37157,69629,14649,36442,10474,93643,17655
12119,11869,3053,6696,2255,93420,9022
39055,47573,1032,14670,9,93389,1198
19155,83102,593,55832,353,93158,1267
1095,48018,1113,28553,1365,93019,1494
1077,61622,7242,30936,7096,92709,9257
39157,76789,793,57035,194,92582,719
48037,59971,14364,34827,12734,92565,22387
45075,68559,41181,55893,36794,92501,57535
51161,61693,3662,19623,3525,92376,4643
42073,112965,2815,70032,699,91108,3501
37023,52701,3700,21408,2570,90912,6012
21037,86803,823,59369,735,90336,2290
47155,24251,184,22296,378,89889,711
19169,49327,127,24083,8,89542,2196
29165,23350,288,14429,719,89322,5270
29021,90581,2582,93020,4457,89201,4662
53025,46477,832,8698,3,89120,990
33009,48857,37,41652,44,89118,828
42063,75366,439,66210,183,88880,2434
36015,98706,2560,54662,593,88830,5828
42039,77956,991,61565,355,88765,1547
55027,63170,279,47436,43,88759,2381
24009,15826,6667,10325,5046,88737,11930
26087,41926,469,26033,28,88319,922
37125,36733,9666,17010,5637,88247,11839
26055,33490,140,23784,32,86986,1033
54107,78331,643,38001,943,86956,958
48469,46475,4005,14990,3600,86793,5513
48005,39814,7062,17705,2435,86771,13035
55089,38441,9,17123,7,86395,1177
48231,39399,6408,48116,4579,86129,7133
39119,79159,3376,57488,1686,86074,3256
41003,39165,75,10663,1,85579,759
13247,10572,2889,8916,3592,85215,39559
55109,29164,28,25910,3,84345,552
13297,20481,6129,25393,10070,83768,13103
55055,50094,20,34306,22,83686,681
26111,51450,27,14005,119,83629,1013
1115,25388,4263,20715,3632,83593,7150
22097,81493,35008,66661,31234,83384,34442
37027,49552,3492,20579,2416,83029,4086
21151,33482,2586,26951,5698,82916,3611
28081,40589,10284,28894,10667,82910,22619
44005,81891,3593,39335,1881,82888,2864
16005,49342,494,19242,129,82839,625
1083,36513,7620,26880,10255,82782,10429
18067,69509,2598,33177,490,82752,5680
41033,29917,6,9567,4,82713,347
1121,65495,20952,37921,18265,82291,26055
36019,72722,2582,48230,251,82128,3209
48361,60357,5959,9528,1898,81837,6979
42033,81534,260,93768,315,81642,1862
17183,96176,5203,77996,2038,81625,10571
55071,75215,14,44978,16,81442,442
37195,57716,23207,28269,12350,81234,31686
47119,41699,8374,40456,16169,80956,10154
1043,45572,514,28321,533,80406,856
36009,80187,493,65919,333,80317,1024
28075,67119,23464,46919,21875,80261,34330
36011,73942,1329,67106,661,80026,3195
13127,41954,11598,15720,9774,79626,20726
39145,84216,1666,48463,1016,79499,2129
1051,30524,10301,28245,13246,79303,15900
54081,77826,9538,25633,2052,78859,6468
48213,21786,4511,20131,4177,78532,4887
53029,19638,204,4704,0,78506,1716
48397,5878,1381,8072,731,78337,4521
51069,21941,431,12787,694,78305,3175
37109,28814,3523,17132,2797,78265,4340
53021,23342,1230,5153,19,78163,1473
39141,61215,3121,40069,2382,78064,4840
42111,77450,132,67717,246,77742,1863
36105,45272,1879,33808,64,77547,7039
5069,81373,35365,52734,37692,77435,42639
29043,12359,4,15832,51,77422,449
18085,40373,84,27936,28,77358,572
16083,41842,22,13543,31,77230,342
33005,43342,34,30659,26,77117,390
39043,68000,4421,38327,311,77079,6644
5145,32745,1241,28574,2162,77076,3074
18005,48198,315,24813,319,76794,1420
45057,39352,10613,26650,13115,76652,18278
51165,40485,704,34903,2335,76314,1273
26159,48395,3286,33185,535,76258,3100
29051,40761,3161,21957,2157,75990,8512
41059,44352,250,20309,55,75889,638
29031,42020,1192,27621,1990,75674,5330
48291,31595,7396,10686,3401,75643,8202
5168,54790,11109,29494,9466,75568,22140
53041,41858,26,32127,79,75455,405
41053,26523,4,13469,2,75403,424
48099,23961,1293,21703,488,75388,11943
26037,37969,44,23129,38,75382,1549
47001,60032,1964,17717,921,75129,2847
24001,84169,1164,62411,1517,75087,6028
28035,52722,14719,20722,7683,74934,27082
39063,53686,268,37860,249,74782,1158
55141,59105,2,30583,6,74749,393
55141,59105,2,30583,6,74749,393
18043,51397,2010,30293,1749,74578,3873
12107,32212,10010,13096,6804,74364,12030
21029,15726,223,9487,679,74319,484
45073,40204,4291,27337,6848,74273,5613
48021,16925,5291,25344,9428,74171,5772
21047,56904,12462,38845,15956,73955,15707
51015,37363,1626,32445,4541,73750,2930
37171,48205,2795,29705,2632,73673,2749
36053,54635,328,39289,296,73442,1350
12089,17189,4287,10525,5553,73314,4668
22045,51657,14781,31262,14474,73240,23435
12087,47921,4770,21563,5842,73090,4194
53027,54465,39,NULL,NULL,72797,803
53007,40744,35,15104,8,72453,236
47141,29236,528,20023,892,72321,1455
23003,106064,1288,74664,51,71870,455
53009,30022,45,6755,2,71404,596
25011,54864,177,43600,119,71372,796
1049,41417,819,28261,854,71109,1078
26155,53446,39,33246,39,70648,325
39013,83864,2071,76856,1782,70400,2834
26073,35348,232,23029,135,70311,1676
13031,24263,8947,26464,10591,70217,19409
18053,75741,3199,51426,1528,70061,4888
55097,36964,4,30945,5,70019,383
18059,26665,41,19030,125,70002,1452
39081,99201,5314,65423,1647,69709,3879
45047,44346,13125,34225,21302,69661,21846
13013,14485,2557,NULL,NULL,69367,7889
37193,45269,2694,30282,2591,69340,2830
54033,77856,1317,48381,1359,69099,1121
42005,79524,880,67880,495,68941,553
18177,74039,3522,43757,1591,68917,3418
18109,33875,8,21182,94,68894,176
47059,42163,1073,31083,1369,68831,1373
13295,45264,2420,18692,2451,68756,2829
45031,52928,23475,36027,21283,68681,28573
51019,31028,5992,29549,8455,68676,3942
5085,24551,5849,27983,11268,68356,4075
48471,21475,7005,16061,8362,67861,15257
37161,45091,5391,28385,4288,67810,6854
28067,59542,15393,29885,8417,67761,19153
12023,20077,6070,17689,8411,67531,11818
42037,53489,71,48467,119,67295,1246
17001,68467,1385,64588,1880,67103,2331
15007,28176,7,NULL,NULL,67091,278
26103,56154,961,46739,83,67077,1141
13285,47189,15760,26228,15399,67044,22394
1127,54211,5610,37013,6538,67023,3928
51095,11539,4085,6338,3034,67009,8805
45059,47609,14064,41550,22753,66537,16933
39101,60221,1493,33971,232,66501,3807
37031,30940,3684,13776,2292,66469,4041
41035,47475,456,8554,21,66380,432
17199,46117,703,45098,866,66357,2540
47147,27335,4782,25466,6492,66283,4934
19049,24123,112,23628,131,66135,918
34033,58711,8812,26999,3324,66083,9309
36113,44002,147,32223,25,65707,590
48203,45594,19740,37243,23698,65631,14398
21145,57306,6207,35064,7934,65565,7224
51199,21583,4667,7757,3764,65464,8751
36051,44053,839,38037,344,65393,1598
29187,36516,167,35738,556,65359,2775
42025,52889,34,52846,27,65249,976
