"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000","black_1990","black_2000","black_2014","black_2010","jail_2010"
5093,588.76,258.5,311.79,312.82,410.58,774,864.02,971.16,1081.53,576.41
5095,169.56,116.99,176.82,407.66,455.57,1141.12,625.09,362.13,144.02,116.96
5097,145.83,90.61,46.62,120.21,201.15,0,0,0,0,146.08
5099,183.62,17.46,53.21,272.79,313.66,592.03,787.67,170.84,402.77,231.07
5101,54.57,0,41.55,113.42,96.83,"null",0,0,0,54.57
5103,857.58,27.02,73.79,152.61,244.26,300.07,533.31,1743.02,1219.47,601.37
5105,605.79,0,62.85,224.54,364.85,2318.84,1785.71,4022.99,3599.76,463.99
5107,482.36,117.03,246.25,342.83,414.38,679.44,740.49,583.39,583.39,482.36
5109,340.76,0,47.63,199.38,157.23,0,809.72,4029.3,2955.43,275.19
5111,549.81,43.9,130.49,120.29,509.96,784.73,2247.19,1354.58,1699.24,541.02
5113,345.79,0,43.58,131.22,197.17,"null",0,0,0,295.68
5115,389.81,5.49,87.72,145.78,241.72,786.97,915.37,1847.9,1588.35,362.34
5117,431.71,33.12,91.99,176.67,315.63,1157.03,659.86,1226.99,1280.23,272.98
5119,437.25,169.64,126.09,98.21,414.12,285.79,742.98,873.12,747.38,365.89
5121,310.96,0,17.52,126.67,191.08,0,763.36,694.44,884.96,276.19
5123,352.38,136.39,199.42,424.42,601.84,796.25,868.29,378.9,390.94,385.06
5125,252.53,17.33,39.64,56.35,98.78,255.52,409.08,952.99,869.1,183.94
5127,2995.26,0,0,107.12,74.43,"null",0,1754.39,0,1878.14
5129,291,44.04,98.36,186.4,193.09,"null",0,0,0,246.99
5131,436.2,202.02,139.81,142.2,323.3,909.09,1175.45,1424.45,1601.71,457.41
5133,378.19,15.14,42.29,89.16,176.54,369.46,581.79,1639.34,1145.42,295.04
5135,364.78,62.68,81.54,76.46,77.82,0,0,0,0,266.59
5137,232.11,0,0,51.92,261.2,0,0,0,0,272.54
5139,616.19,141.15,139.77,225.87,586.61,839.21,1606.21,1253.16,1253.16,616.19
5141,337.17,0,83.79,161.88,386.23,0,6111.11,1818.18,1818.18,320.54
5143,354.34,37.72,49.57,125.28,215.36,490.12,751.03,1375.64,1815.8,340.13
5145,473.14,77.85,97.23,137.08,248.58,692.24,1723.08,1373.74,1349.37,398.97
5147,457.98,187.06,135.72,150.81,271.91,0,604.33,477.71,343.77,419.57
5149,175.16,35.35,67.75,81.94,170.6,490.2,531.91,409.84,432.9,169.95
6001,269.43,258.5,286.23,432.13,389.73,1551.78,1566.27,1225.77,1406.56,360.5
6003,0,0,0,0,0,0,0,0,0,0
6005,387.38,104.81,78.27,183.72,218.39,0,0,910.27,205.76,361.95
6007,397.79,119.75,165.74,239.4,275.43,2775.8,2164.08,1427.24,3631.56,288.44
6009,264.44,345.07,193.64,228.93,178.14,0,431.03,273.22,292.4,252.43
6011,485.08,386.51,401.08,688.23,535.53,10869.57,2222.22,3783.78,2936.75,321.62
6013,161.78,100.48,106.38,278.16,246.89,1314.83,986.43,786.86,849.83,203.68
6015,528.75,282.01,357.56,409.08,642.38,0,346.02,295.86,209.5,562.35
6017,306.76,237.6,164.42,318.45,308.95,2015.11,1524.24,1127.56,992.74,291.08
6019,457.84,278.81,268.26,533.07,405.38,3594.28,1527.67,1480.09,816.38,233.57
6021,537.76,285.09,262.92,327.46,510.31,4105.09,3333.33,961.54,2869.9,580.29
6023,395.84,185.34,159.36,265.46,378.27,770.42,2032.52,878.16,753.3,379.28
6025,360.27,650.13,430.68,521.36,313.75,142.15,366.3,691.6,356.9,227.85
6027,519.46,237.19,313.71,581.84,589.3,0,5263.16,588.24,1798.56,525.33
6029,432.52,307.55,418.72,686.87,464.54,2578.96,1335.19,1041.52,1015.94,351.56
6031,435.49,220.62,392.98,534.91,378.82,886.29,379.84,1092.14,703.11,280.08
6033,847.67,213.35,154.76,552.83,523.4,409.84,2493.07,2931.94,1876.96,519.15
6035,554.63,134.41,143.36,362.39,994.58,165.08,1463.06,149.42,122.96,420.91
6037,263.16,226.95,194.07,366.88,301.19,1296.68,823.78,1009.04,960.12,247.87
6039,441.83,282.11,409.26,481.53,368.91,2188.68,648.51,1328.9,1057.22,419.31
6041,173.31,68.31,75.6,175.71,130.82,1063.29,865.51,1200.89,1376.76,172.22
6043,419.75,321.11,140.41,243.33,418.51,1128.94,1624.65,502.51,537.63,368.06
6045,494.13,170.54,204.57,384.01,372.04,1433.69,1000,1086.96,1685.39,442.03
6047,459.71,133.68,219.36,585.13,426.91,3219.32,2437.59,1739.27,3330.81,461.74
6049,533.09,149.8,188.51,350.58,632.59,0,0,0,0,481.64
6051,298.39,178.13,106.16,317.03,241.37,3571.43,0,0,0,326.07
6053,349.59,249.32,205.05,419.05,363.1,1223.46,814.63,959.55,971.17,297.82
6055,265.66,73.58,122.26,331.03,248.59,1060.07,289.98,1161.29,667.3,244.64
6057,272.84,259.95,159.88,233.69,254.37,925.93,1456.31,2087.29,1966.29,264.45
6059,295.02,133.97,138.22,258.88,215.45,1038.65,930.73,1082.22,856.28,211.08
6061,279.98,132.4,157.08,265.39,255.67,1073.62,1656.73,1206.6,910.24,244.53
6063,439.99,173.91,132.67,268.73,416.89,1298.7,1372.55,1438.85,1438.85,353.04
6065,251.9,267.83,182.56,285.77,264.39,1264.09,853.78,708.05,668.07,236.82
6067,343.84,259.27,228.42,433.85,344.15,1666.84,1344.7,1780.18,1780.18,370.9
6069,301.36,185.79,264.97,312.97,281.54,0,398.94,678.73,740.74,297.9
6071,476.79,192.48,155.47,309.02,460.79,1055.45,1063.56,958.26,938.78,369.91
6073,258.78,177.09,164.94,298.72,277.06,150.95,1027.66,985.9,799.55,199.37
6075,207.12,341.05,264.89,355.69,367.93,2235.23,2320.25,1935.78,2707.87,318.88
6077,307.41,422.83,249.69,368.69,310.67,1465.81,1306.05,899.49,855.35,283.45
6079,387.47,140.16,142.23,261.38,219.59,514.43,363.97,512.01,630.13,293.73
6081,211.04,146.72,142.31,262.33,206.28,1631.43,1428.73,1786.33,1370.42,188.6
6083,339.09,141.29,185.9,321.95,284.06,1577.76,1101.03,1200.12,1262.47,304.49
6085,308.92,169.96,195.83,391.54,358.9,1814.46,1505.52,1509.07,1595.12,277.4
6087,258.16,161.06,189.54,388.51,294.69,1571,1617.64,1681.85,1152.16,201.79
6089,284.27,176.06,245.98,544.22,337.06,3947.37,2351.62,1838.67,1206.53,186.47
6091,331.49,0,94.39,72.08,131.06,"null",0,16666.67,16666.67,378.07
6093,351.14,120.69,138.37,181.08,313.99,1256.54,608.73,761.9,952.38,294.33
6095,320.05,135.04,198.92,494.48,308.19,1508.4,893.51,911.32,784.41,310.9
6097,325.16,265.79,153.14,280.4,336.51,2709,1573.43,1606.14,1037.01,266.58
6099,317.28,320.07,278.22,431.87,361.52,2577.59,1632.15,1198.65,1196.98,347.79
6101,458.98,153.78,222.13,434.98,420.19,722.54,685.36,1281.27,3680.93,415.18
6103,508.43,198.68,253.73,166.08,527.5,0,869.57,1573.03,817.44,446.44
6105,561.59,42.29,99.05,391.25,545.28,2325.58,4131.05,1904.76,1923.08,532.12
6107,555.66,336.57,293.52,575.87,482.23,1789.88,1155.4,1441.48,1177.8,508.36
6109,404.05,196.5,144.3,307.92,329.25,66.76,140.37,276.75,424.45,370.09
6111,291.97,138.5,217.43,348.65,250.44,1801.89,1029.34,954.08,839.81,283.42
6113,311.09,188.43,213.93,292.36,330.11,1871.78,1718.08,1383.44,1334.63,255.25
6115,443.36,250.13,304.79,385.47,389.24,198.54,1638.12,1132.45,907.63,326.63
8001,297.35,61.92,52.95,308.67,343.25,1922,1690.18,1020.59,1666.67,356.37
8003,820.12,27.56,80.84,224.24,502.51,2222.22,990.1,505.05,490.2,663.93
8005,236.42,33.86,49.42,272.81,237.31,2777.78,902.29,793.45,1002.48,273.08
8007,298.12,0,0,405.52,263.66,0,0,0,0,264.86
8009,302.25,118.34,88.34,191.79,361.35,"null",0,0,0,302.25
8011,765.05,25.83,27.44,148,374.1,0,515.46,268.82,209.2,705.5
8013,235.54,43.55,56.65,143.5,182.93,761.77,825.17,683.7,1269.27,197.05
8014,140.28,0,0,0,0,"null",0,350.26,0,0
8015,616.61,16.44,94.06,181.44,317.78,0,0,366.3,361.01,558.08
8017,327.87,139.76,227.1,174.42,359.36,"null",0,0,0,327.87
8019,499.92,0,372.09,347.34,609.87,11818.18,12698.41,10169.49,11320.75,484.51
8021,458.72,119.16,81.98,127.06,117.54,"null",0,0,0,356.16
8023,709.56,57.84,147.37,105.88,137.56,0,5555.56,33333.33,33333.33,596.07
8025,123.82,0,0,67.44,146.84,0,0,211.86,211.86,117.18
8027,190.91,0,0,0,0,"null",0,0,0,0
8029,241.06,34.59,127.86,219.01,234.84,2127.66,740.74,724.64,724.64,256.14
8031,462.46,213.21,212.2,496.84,475.07,1670.74,1514.01,1120.39,1437.63,474.16
8033,0,99.9,0,0,0,"null",0,0,0,0
8035,115.55,134.43,56.97,97.06,117.53,1358.41,804.6,652.95,930.95,133.01
8037,210.25,62.06,47.03,175.25,142.52,0,0,0,0,195.06
8039,128.39,89.33,45.62,243.14,139.93,0,2651.52,680.27,2597.4,154.43
8041,362.37,83.14,102.2,240.46,272.74,748.56,1615.52,988.57,1209.19,359.87
8043,618.52,69.8,102.74,253.64,298.1,174.13,110.7,853.24,540.47,532.16
8045,221.79,76.08,93.52,251.77,314.86,0,1562.5,727.27,1369.86,254.05
8047,1118.57,0,56.21,231.83,1040.54,17293.23,8270.68,1886.79,4296.88,997.58
8049,244.71,35.83,184.71,339.64,295.86,0,1785.71,3278.69,3132.83,232.56
8051,151.15,68.17,20.37,135.68,203.05,1997.71,0,0,0,187.16
8053,151.03,68.06,20.4,135.77,203.14,"null",0,0,0,186.97
8055,738.98,110.65,189.47,277.46,332.22,0,510.2,7692.31,7065.22,686.51
8057,453.51,0,0,355.14,126.62,"null","null",0,0,396.17
8059,310.98,43.57,48.62,140.59,178.5,1161.71,3928.17,1828.24,1828.24,271.29
8061,539.31,162.87,157.11,225.57,460.58,"null",0,"null","null",555.47
8063,484.5,0,72.51,153.26,294.18,0,0,1156.07,0,452.25
8065,99.19,117.37,111.15,205.03,310.09,0,0,0,0,230.53
8067,300.66,247.13,119.32,245.34,334.93,31323.72,2651.88,1585.7,1952.12,376.28
