"point_id","x","y","total_1860","total_1830","slaves_1830","total_1790","slaves_1790","slaves_1860","free_blacks_1860","total_1910","black_1910","total_1970","jail_1970","black_1970","total_2010","black_2010","jail_2010","jail_black_2010","total_2014","total_prison_2014","black_2014","jail_2014","jail_black_2014","prison_2014"
8997,-1282826.149,-163023.8113,98.1647491,0,0,0,0,0,0,287.9342346,0.95375,1197.69751,1.293249965,22.9924984,1135.140381,35.99202728,5.129187584,0.408440977,1163.734985,1163.734985,30.29040146,4.923647881,0.247712806,0.433911413
8072,-850244.829,-10348.0513,101.1422501,0,0,0,0,0,0.05025,1141.441162,2.7625959,1262.759521,1.102700591,1.45010829,1252.061768,15.03889656,5.182250023,1.950565934,1164.28125,1164.28125,15.59680462,5.832204342,0,0.185950995
12033,1210877.931,-799172.8113,149.3114166,50.3757,13.6452493668,0,0,32.3359833,0.0483294,583.5140381,165.8184967,972.5404053,3.149903774,193.6605682,1181.736206,135.9526215,9.135025024,1.379495621,1164.380615,1164.380615,169.0455627,8.226028442,1.618427992,0.499329627
5844,-544893.309,345895.3887,19.8780003,0,0,0,0,0,0.01875,1004.680847,0.1515479,1151.761597,0.644611955,1.425833702,1175.648438,4.629248619,5.010127068,0.089779995,1165.435547,1165.435547,12.47981739,5.685222149,0.349541307,0.067294903
10666,-773906.949,-468375.3313,36.6875,0,0,0,0,0,0,449.8406982,4.9669919,1243.699463,1.739175439,15.36900806,1118.973022,12.30916977,6.999758244,0.128769487,1165.511719,1165.511719,5.833502293,7.927462578,0.083301798,0.329007089
10645,-1308272.109,-468375.3313,36.6875,0,0,0,0,0,0,1116.725342,10.4599228,1551.110352,2.155331135,41.83161545,1359.809814,38.44423676,3.771980286,0.246205092,1165.736816,1165.736816,32.26179504,3.536183834,0.22105889,0.383303791
194,-1664515.549,1363733.789,6.9386978,0,0,0,0,0,0.0064899,1204.668701,1.0097874,1056.097168,1.403609395,4.511389732,1161.055054,6.575845242,2.785132647,0.107324705,1166.337646,1166.337646,6.814726353,2.94163847,0.111095704,0.111285999
8396,-723015.029,-61239.9713,77.6572495,0,0,0,0,0,0.19525,1092.00293,14.9272499,807.3922119,1.73724997,4.113249779,1276.85437,9.181505203,6.713900566,0,1166.484253,1166.484253,8.873774529,7.104814053,0,0.257573992
7435,-901136.749,91435.7887,231.7323456,0,0,0,0,0,0.272706,328.0457458,0.39425,301.7862549,0.547249973,0.630750001,1215.420166,9.767052651,5.136718273,0,1167.141968,1167.141968,0.923523307,4.758946419,0,0.131814897
1174,-1257380.189,1109274.189,1.2471164,0,0,0,0,0,0.0024402,760.6932373,7.392416,948.9974365,0.352566898,1.012227416,1107.872437,7.68270874,1.867153525,0.061444901,1167.625732,1167.625732,4.375739098,2.024645329,0.1201704,0.147759408
8884,-315879.669,-137577.8513,0,0,0,0,0,0,0,3227.168945,1.1241018,2106.348145,1.361396313,4.838963032,1193.669434,56.95378494,6.230034828,0,1168.813232,1168.813232,38.36738586,7.546923637,0,0.219131991
8532,-1282826.149,-86685.9313,45.9967537,0,0,0,0,0,0,287.9342346,0.95375,1197.69751,1.293249965,22.9924984,1123.720215,9.030359268,5.077532768,0.102579296,1169.047974,1169.047974,0.706293881,4.946148872,0.0057687,0.435918391
639,-112311.989,1236503.989,0,0,0,0,0,0,0,3443.679688,1.0662575,2635.438721,0.265050501,0.213301495,1185.89917,4.817254067,2.471604109,0,1169.52063,1169.52063,0.391853392,2.58342433,0,0.196787
8423,-35974.109,-61239.9713,2.6825161,0,0,0,0,0,0.107001,2933.813232,45.8335381,1483.198364,2.098557949,8.885676384,1154.952637,9.772093773,3.661193371,0.017730001,1170.095703,1170.095703,8.602323532,4.059926987,0.0133455,0.224959999
3910,-239541.789,651246.9087,0,0,0,0,0,0,0,3181.406982,1.9420632,1934.867554,0.798613906,0.291350424,1212.251221,5.583991051,4.011679649,0.286833406,1170.801514,1170.801514,4.362079144,4.287583351,0.0085666,0.445826113
643,-10528.149,1236503.989,55.1819992,0,0,0,0,0,0,1858.202026,0.332725,1746.678711,0.186024994,0.354299992,1145.447754,4.811083794,2.062596083,0,1170.906982,1170.906982,10.12885857,2.34260273,0,0.288505286
3215,-1257380.189,753030.7487,1.7887499,0,0,0,0,0,0.0035,1386.308472,2.6172502,5791.754883,3.812510967,12.30007267,1203.246948,3.768912792,4.16113615,1.094068289,1171.054443,1171.054443,2.635042906,5.179165363,0.403574616,0.181953296
6310,-1053812.509,269557.5087,36.7811012,0,0,0,0,0,0,1523.109009,8.9869242,609.5091553,0.707427859,5.780769825,1239.030762,13.63785553,6.460810185,0.194564,1173.116211,1173.116211,12.29974556,6.137755871,0.131706506,0.299326599
6500,-315879.669,244111.5487,0,0,0,0,0,0,0,3200.900879,44.9108505,1924.984985,3.750360489,12.02960682,1178.204712,34.8950386,1.472526074,0.065743201,1173.713989,1173.713989,40.12451553,1.377637029,0.052439999,0.147358805
