"county","black_pop_1980","total_pop_1980","black_pop_2010","total_pop_2010","black_pop_2000","total_pop_2000","black_pop_1960","total_pop_1960","black_pop_1910","total_pop_1910"
25019,106,5087,688,10172,789,9520,108,3559,35,2962
25021,6014,606587,38148,670850,20674,650308,1502,510256,797,187506
25023,8144,405437,35608,494919,21573,472822,4563,248449,2484,144337
25025,127232,650142,156292,722023,153418,689807,63676,791329,13886,731388
25027,8724,646352,33314,798552,20498,750963,3218,583228,1847,399657
26001,6,9740,13,10942,19,11719,0,6352,9,5703
26003,49,9225,612,9601,603,9862,2,9250,12,7675
26005,1471,81555,1358,111408,1385,105665,738,57729,241,39819
26007,19,32315,79,29598,77,31314,1,28556,3,19965
26009,15,16194,41,23580,45,23110,7,10373,35,15692
26011,7,14706,29,15899,315,17269,4,9860,6,9640
26013,58,8484,635,8860,436,8746,0,7151,2,6127
26015,66,45781,219,59173,139,56755,19,31738,23,22633
26017,1023,119881,1702,107771,1389,110157,587,107042,188,68238
26019,36,11205,72,17525,45,15998,30,7834,89,10638
26021,24817,171276,24037,156813,25879,162453,12688,149865,713,53622
26023,79,40188,1393,45248,1206,45787,225,34903,50,25605
26025,13577,141557,14872,136146,15033,137985,9922,138858,690,56638
26027,4150,49499,2821,52293,3127,51104,3706,36932,1444,20624
26029,15,19907,80,25949,45,26090,5,13421,89,19157
26031,13,20649,133,26152,65,26448,7,14550,34,17872
26033,369,29029,2509,38520,2127,38543,278,32655,43,24472
26035,8,23822,149,30926,102,31252,1,11647,3,9240
26037,169,55893,1549,75382,405,64753,44,37969,38,23129
26039,56,9465,51,14074,214,14273,109,4971,2,3934
26041,12,38947,75,37069,36,38520,23,34298,34,30108
26043,8,25341,87,26168,32,27472,5,23917,9,20524
26045,1987,88337,6811,107759,5481,103655,90,49684,74,30499
26047,100,22992,156,32694,147,31437,102,15904,44,18561
26049,78804,450449,88127,425790,88843,436141,36553,374313,416,64555
26051,11,19957,60,25692,35,26023,1,10769,37,8413
26053,129,19686,678,16427,305,17370,2,24370,6,23333
26055,163,54899,1033,86986,307,77654,140,33490,32,23784
26057,36,40448,2354,42476,1572,42285,51,37012,92,28820
26059,101,42071,220,46688,201,46527,28,34742,22,29673
26061,110,37872,198,36628,339,36016,25,35654,61,88098
26063,25,36459,122,33118,69,36079,13,34006,8,34758
26065,21282,275520,33047,280895,30340,279320,7447,211296,404,53310
26067,1642,51815,3019,63905,2807,61518,1081,43132,90,33550
26069,654,28349,122,25887,111,27339,107,16505,5,9753
26071,2,13635,14,11817,144,13138,4,17184,8,15164
26073,488,54110,1676,70311,1224,63351,232,35348,135,23029
26075,10840,151495,12739,160248,12543,158422,7379,131994,399,53426
26077,15846,212378,27266,250331,23217,238603,5756,169712,790,60427
26079,3,10952,50,17153,35,16571,7,4382,23,8097
26081,31460,444506,58648,602622,51287,574335,14630,363187,729,159145
26083,9,1963,3,2156,81,2301,26,2417,3,7156
26085,1285,7711,1058,11539,1266,11333,1409,5338,5,4939
26087,163,70038,922,88319,720,87904,469,41926,28,26033
26089,18,14007,66,21708,52,21119,8,9321,22,10608
26091,758,89948,2539,99892,2094,98890,399,77789,245,47907
26093,478,100289,809,180967,722,156951,229,38233,35,17736
26095,1,6659,737,6631,528,7024,12,7827,3,4004
26097,5,10178,57,11113,24,11943,17,10853,11,9249
26099,9142,694600,72723,840978,21326,788149,6262,405804,102,32606
26101,47,23019,723,24733,399,24527,86,19042,20,26688
26103,1270,74101,1141,67077,853,64634,961,56154,83,46739
26105,178,26365,172,28705,206,28274,67,21929,6,21832
26107,782,36961,1077,42798,1460,40553,204,21051,237,19466
26109,6,26201,72,24029,25,25326,3,24685,7,25648
26111,566,73578,1013,83629,868,82874,27,51450,119,14005
26113,2,10009,43,14849,29,14478,1,6784,15,10606
26115,2313,134659,3237,152021,2766,145945,1938,101120,88,32917
26117,112,47555,1483,63342,1330,61266,64,35795,105,32069
26119,1,7492,15,9765,25,10315,1,4424,1,3755
26121,19175,157589,24882,172188,24166,170200,12649,149943,79,40577
26123,555,34917,495,48460,535,47874,507,24160,19,19220
26125,47962,1011793,164078,1202362,120720,1194156,23026,690259,251,49576
26127,42,22002,119,26570,86,26873,66,16547,25,18379
26129,9,16436,39,21699,29,21645,2,9680,2,8907
26131,3,9861,6,6780,2,7818,1,10584,2,8650
26133,17,18928,133,23528,81,23197,33,13595,39,17889
26135,1,6858,14,8640,8,9418,1,3447,4,2027
26137,6,14993,80,24164,42,23301,9,7545,1,6552
26139,632,157174,3874,263801,2497,238314,211,98719,42,45301
26141,6,14267,56,13376,38,14411,2,13117,3,11249
26143,0,16374,91,24449,82,25469,0,7200,2,2274
26145,35841,228059,38114,200169,39112,210039,18777,190752,343,89290
26147,2804,138802,3976,163040,3451,164235,2393,107201,65,52341
26149,1360,56083,1600,61295,1611,62422,635,42332,88,25499
26151,16,40789,150,43114,124,44547,4,32314,8,33930
26153,3,8575,11,8485,145,8903,6,8953,5,8681
26155,67,71140,325,70648,139,71687,39,53446,39,33246
