"county","pop_2010","pop_1960","pop_1910"
21159,0.07,0,0
21161,0.06,0.1,0.15
21163,0.03,0.04,0.07
21165,0.02,0,0.01
21167,0.04,0.06,0.15
21169,0.02,0.04,0.08
21171,0.02,0.03,0.05
21173,0.03,0.1,0.25
21175,0.04,0,0
21177,0.05,0.05,0.1
21179,0.05,0.08,0.17
21181,0.01,0.03,0.08
21183,0.01,0.02,0.05
21185,0.04,0.09,0.15
21187,0.01,0.04,0.07
21189,0,0,0.01
21191,0,0.01,0.02
21193,0.02,0.03,0.02
21195,0.01,0.01,0.01
21197,0.01,0.01,0.05
21199,0.01,0.02,0.03
21201,0,0.01,0.02
21203,0,0,0.01
21205,0.01,0,0.01
21207,0,0.01,0.02
21209,0.05,0.12,0.24
21211,0.07,0.13,0.22
21213,0.09,0.14,0.19
21215,0.02,0.06,0.1
21217,0.05,0.06,0.12
21219,0.08,0.17,0.32
21221,0.08,0.17,0.23
21223,0,0,0.02
21225,0.12,0.09,0.12
21227,0.09,0.1,0.2
21229,0.06,0.1,0.13
21231,0.02,0.03,0.04
21233,0.04,0.08,0.13
21235,0.01,0.01,0.03
21237,0,0,0.01
21239,0.05,0.13,0.3
22001,0.18,0.2,0.21
22003,0.23,0.24,NULL
22005,0.22,0.32,0.47
22007,0.3,0.41,0.42
22009,0.29,0.28,0.35
22011,0.13,0.22,NULL
22013,0.42,0.49,0.43
22015,0.21,0.25,0.77
22017,0.47,0.36,0.62
22019,0.25,0.21,0.26
22021,0.17,0.28,0.4
22023,0.02,0.06,0.13
22025,0.32,0.35,0.5
22027,0.51,0.5,0.6
22029,0.41,0.46,0.84
22031,0.39,0.58,0.65
22033,0.45,0.32,0.62
22035,0.69,0.61,0.89
22037,0.45,0.54,0.72
22039,0.28,0.27,NULL
22041,0.31,0.41,0.44
22043,0.16,0.24,0.31
22045,0.32,0.29,0.46
22047,0.49,0.49,0.62
22049,0.3,0.32,0.29
22051,0.26,0.15,0.37
22053,0.17,0.21,NULL
22055,0.26,0.24,0.37
22057,0.13,0.12,0.24
22059,0.12,0.12,0.21
22061,0.4,0.42,0.39
22063,0.05,0.15,0.13
22065,0.61,0.65,0.89
22067,0.47,0.47,0.74
22069,0.41,0.44,0.56
22071,0.6,0.37,0.26
22073,0.37,0.32,0.55
22075,0.2,0.28,0.55
22077,0.36,0.54,0.68
22079,0.32,0.3,0.48
22081,0.4,0.48,0.54
22083,0.36,0.44,0.66
22085,0.17,0.24,0.21
22087,0.18,0.07,0.37
22089,0.27,0.27,0.6
22091,0.53,0.55,0.5
22093,0.51,0.49,0.57
22095,0.54,0.52,0.57
22097,0.41,0.43,0.47
22099,0.31,0.37,0.43
22101,0.33,0.31,0.54
22103,0.11,0.27,0.36
22105,0.3,0.34,0.31
22107,0.56,0.65,0.92
22109,0.19,0.17,0.4
22111,0.27,0.37,0.36
22113,0.14,0.13,0.17
22115,0.14,0.13,0.21
22117,0.31,0.34,0.29
22119,0.34,0.34,0.52
22121,0.38,0.49,0.73
22123,0.16,0.22,0.44
22125,0.46,0.66,0.82
22127,0.31,0.31,0.21
23001,0.04,0,0
23003,0.01,0.01,0
23005,0.02,0,0
23007,0,0,0
23009,0,0,0
23011,0.01,0,0
23013,0,0,0
23015,0,0,0
23017,0,0,0
23019,0.01,0.01,0
23021,0,0,0
23023,0.01,0.01,0.01
23025,0,0,0
23027,0,0,0
23029,0,0,0
23031,0.01,0,0
24001,0.08,0.01,0.02
24003,0.16,0.14,0.36
24005,0.26,0.03,0.1
24009,0.13,0.42,0.49
24011,0.14,0.2,0.25
24013,0.03,0.04,0.06
24015,0.06,0.06,0.14
24017,0.41,0.33,0.52
