"county","jail_2014","jail_1970","jail_1980","jail_1990","jail_2000"
13123,574.97,1160.89,742.3,319.76,348.59
13125,0,0,0,0,0
13127,642.77,123.8,165.46,504.42,612.35
13129,794.08,68.47,146.68,368.02,621.45
13131,513.59,443.59,456.33,649.39,469.48
13133,589.54,102.99,121.92,219.84,571.7
13135,355.95,263.08,170.2,205.28,398.27
13137,428.57,104.85,137.17,159.75,369.51
13139,894.58,134.69,522.83,722.9,873.77
13141,641.87,0,0,0,569.37
13143,497.35,40.3,93.39,265.24,357.16
13145,895.55,396.36,504.97,554.09,605.08
13147,278.76,114.93,167,222.15,350.36
13149,606.62,223.14,88.54,330.08,308.21
13151,437.24,464.19,107.13,276.85,306.35
13153,412.01,141.15,265.26,383.6,420.15
13155,799.23,84.03,199.04,249.71,920.23
13157,656.55,191.75,548.13,1078.58,920.86
13159,362.77,807.17,813.7,139.18,435.57
13161,846.02,0,0,0,478.53
13163,2239.83,456.19,742.18,1574.28,2172.79
13165,165.37,62.34,214.12,175.23,126.31
13167,477.18,44.24,34.27,135.62,332.96
13169,670.74,67.52,199.19,159.05,330.73
13171,609.66,77.35,44.04,368.32,974.71
13173,0,34.15,99.42,141.8,0
13175,144.77,127.66,144.9,331.65,850.52
13177,374.89,0,64.62,191.97,160.32
13179,125.66,34.56,172.04,163.79,256.91
13181,1204.6,0,132.26,445.85,916.12
13183,0,0,0,0,0
13185,789.53,192.82,190.58,476.79,727.51
13187,687.69,0,242.95,313.85,450.96
13189,562.78,108.39,231.5,407.99,568.39
13191,697.02,48.05,67.97,281.89,499.21
13193,290.31,112.14,385.39,413.18,446.33
13195,480.72,0,60.67,76.18,178.08
13197,354.99,1641.03,73.69,452.11,542.95
13199,700.71,447.25,619.06,697.76,433.51
13201,600.68,761.08,496.78,370.03,375.39
13205,1353.59,637.84,549.69,1186.54,1421.18
13207,1061.52,117.22,146.09,411.56,467.6
13209,0,1781.38,53.33,168.88,159.38
13211,596.88,53.4,472.29,272.31,438.99
13213,404.19,149.44,113.42,133.9,350.97
13215,1251.28,318.82,376.87,847.79,1130.74
13217,714.33,74.67,195.25,331.94,515.56
13219,178.99,203.62,63.39,140.39,230.15
13221,0,0,89.13,172.2,0
13223,205.31,83.92,124.87,158.09,321.42
13225,386.82,0,146.08,330.07,212.66
13227,429.23,0,165.62,190.96,274.48
13229,532,35.99,193.91,193.93,419.6
13231,214.54,848.46,653.83,158.73,234.24
13233,682.1,44.25,127.91,276.45,591.78
13235,385.02,207.77,108.77,331.75,239.92
13237,552.1,198.49,329.96,722.99,651.62
13239,407.48,658.74,458.48,299.87,271.26
13241,657.56,175.23,88.38,281.65,370.45
13243,407.58,658.74,458.55,299.85,271.31
13245,820.01,217.52,299.37,497.97,689.38
13247,624.12,45.33,110.08,286.83,601.54
13249,92.19,0,108.64,346.05,355.34
13251,550.7,540.18,436.49,258.96,708.74
13253,938.54,168.11,162.9,401.82,564.3
13255,1775.41,358.04,364.37,1134.86,1204.54
13257,816.6,38.56,132.59,434.24,530.85
13259,2383.42,761.64,796.16,1154.19,1671.31
13261,1839.1,440.89,586.98,1001.47,2330.41
13263,218.01,0,0,261.97,232.61
13265,491.44,325.83,299.27,464.96,567.04
13267,501.92,54.61,69.44,165.61,301.91
13269,808.82,113.82,167.07,319.24,426.15
13271,179.14,15.14,113.24,374.81,294.71
13273,533.75,480.69,925.26,1226.61,1698.62
13275,1338.4,59.37,558.09,744.54,1140.24
13277,695.85,386.93,200.73,731.41,673.94
13279,537.73,88.95,136.15,212.58,505.95
13281,459.17,138.22,263.99,580.06,683.79
13283,484.43,119.44,281.3,271.74,266.79
13285,1712.19,255.88,519.81,639.48,1135.37
13287,834.18,1016.42,174.63,596.09,1053.96
13289,0,64.81,82.36,0,0
13291,513.59,146.27,151.85,349.08,547.36
13293,752.78,421.71,428.68,675.72,685.95
13295,451.6,184.8,61.99,225.69,260.65
13297,712.89,57.29,125.99,303.64,387.76
13299,1426.02,409.33,196.1,425.51,782.81
13301,562.71,105.93,231.53,408.09,568.3
13303,251.95,342.29,77.45,348.44,264.51
13305,795.29,140,165.23,346.6,389.68
13307,1839.47,0,0,1000.78,2330.7
13309,314,73.72,117.6,333.22,156.42
13311,529.53,205.93,174.23,253.31,375.94
