"point_id","x","y","slaves_1860","total_1860"
378,-1766299,1287396,"",1.78865
379,-1740853,1287396,"",1.78865
380,-1715407,1287396,"",1.78865
381,-1689962,1287396,"",1.78865
382,-1664516,1287396,"",1.78865
383,-1639070,1287396,"",1.78865
384,-1613624,1287396,"",1.78865
385,-1588178,1287396,"",1.78865
386,-1562732,1287396,"",1.78865
387,-1537286,1287396,"",1.78865
388,-1511840,1287396,"",1.78865
389,-1486394,1287396,"",1.78865
390,-1460948,1287396,"",1.78865
391,-1435502,1287396,"",1.78865
392,-1410056,1287396,"",1.78865
393,-1384610,1287396,"",1.78865
394,-1359164,1287396,"",1.78865
395,-1333718,1287396,"",1.78865
396,-1308272,1287396,"",1.78865
397,-1282826,1287396,"",1.66679
398,-1257380,1287396,"",0.179982
399,-1231934,1287396,"",""
400,-1206488,1287396,"",""
401,-1181042,1287396,"",""
402,-1155596,1287396,"",""
403,-1130150,1287396,"",""
404,-1104704,1287396,"",""
405,-1079258,1287396,"",""
406,-1053813,1287396,"",""
407,-1028367,1287396,"",""
408,-1002921,1287396,"",""
409,-977475,1287396,"",""
410,-952029,1287396,"",""
411,-926583,1287396,"",""
412,-901137,1287396,"",""
413,-875691,1287396,"",""
414,-850245,1287396,"",""
415,-824799,1287396,"",""
416,-799353,1287396,"",""
417,-773907,1287396,"",""
418,-748461,1287396,"",""
419,-723015,1287396,"",""
420,-697569,1287396,"",""
421,-672123,1287396,"",""
422,-646677,1287396,"",""
423,-621231,1287396,"",""
424,-595785,1287396,"",""
425,-570339,1287396,"",""
426,-544893,1287396,"",""
427,-519447,1287396,"",""
428,-494001,1287396,"",""
429,-468555,1287396,"",""
430,-443109,1287396,"",""
431,-417664,1287396,"",""
432,-392218,1287396,"",""
433,-366772,1287396,"",""
434,-341326,1287396,"",""
435,-315880,1287396,"",""
436,-290434,1287396,"",""
437,-264988,1287396,"",""
438,-239542,1287396,"",""
439,-214096,1287396,"",""
440,-188650,1287396,"",""
441,-163204,1287396,"",""
442,-137758,1287396,"",""
443,-112312,1287396,"",""
444,-86866,1287396,"",10.657
445,-61420,1287396,"",15.175
446,-35974,1287396,"",15.175
447,-10528,1287396,"",15.175
448,14918,1287396,"",15.175
449,40364,1287396,"",15.175
450,65810,1287396,"",40.1793
451,91256,1287396,"",31.2812
452,1974257,1287396,"",828.33
453,1999703,1287396,"",1212.46
454,2025149,1287396,"",857.063
455,2050595,1287396,"",858.534
456,2076041,1287396,"",2618.23
457,2101487,1287396,"",2061.86
458,2126932,1287396,"",822.864
459,2152378,1287396,"",415.546
460,-2147989,1261950,"",25.0702
461,-2122543,1261950,"",160.714
462,-2097097,1261950,"",148.288
463,-2071651,1261950,"",165.657
464,-2046205,1261950,"",296.773
465,-2020759,1261950,"",424.049
466,-1995313,1261950,"",121.531
467,-1969867,1261950,"",20.463
468,-1944421,1261950,"",28.3755
469,-1918975,1261950,"",18.1019
470,-1893529,1261950,"",14.2766
471,-1868083,1261950,"",14.2766
472,-1842637,1261950,"",14.2766
473,-1817191,1261950,"",7.91556
474,-1791745,1261950,"",2.08524
475,-1766299,1261950,"",1.78865
476,-1740853,1261950,"",1.78865
477,-1715407,1261950,"",1.78865
478,-1689962,1261950,"",1.78865
479,-1664516,1261950,"",1.78865
480,-1639070,1261950,"",1.78865
481,-1613624,1261950,"",1.78865
482,-1588178,1261950,"",1.78865
483,-1562732,1261950,"",1.78865
484,-1537286,1261950,"",1.78865
485,-1511840,1261950,"",1.78865
486,-1486394,1261950,"",1.78865
487,-1460948,1261950,"",1.78865
488,-1435502,1261950,"",1.78865
489,-1410056,1261950,"",1.78865
490,-1384610,1261950,"",1.78865
491,-1359164,1261950,"",1.78865
492,-1333718,1261950,"",1.78865
493,-1308272,1261950,"",1.78865
494,-1282826,1261950,"",0.794829
495,-1257380,1261950,"",""
496,-1231934,1261950,"",""
497,-1206488,1261950,"",""
498,-1181042,1261950,"",""
499,-1155596,1261950,"",""
500,-1130150,1261950,"",""
501,-1104704,1261950,"",""
502,-1079258,1261950,"",""
503,-1053813,1261950,"",""
504,-1028367,1261950,"",""
505,-1002921,1261950,"",""
506,-977475,1261950,"",""
507,-952029,1261950,"",""
508,-926583,1261950,"",""
509,-901137,1261950,"",""
510,-875691,1261950,"",""
511,-850245,1261950,"",""
512,-824799,1261950,"",""
513,-799353,1261950,"",""
514,-773907,1261950,"",""
515,-748461,1261950,"",""
516,-723015,1261950,"",""
517,-697569,1261950,"",""
518,-672123,1261950,"",""
519,-646677,1261950,"",""
520,-621231,1261950,"",""
521,-595785,1261950,"",""
522,-570339,1261950,"",""
523,-544893,1261950,"",""
524,-519447,1261950,"",""
525,-494001,1261950,"",""
526,-468555,1261950,"",""
527,-443109,1261950,"",""
528,-417664,1261950,"",""
529,-392218,1261950,"",""
530,-366772,1261950,"",""
531,-341326,1261950,"",""
532,-315880,1261950,"",""
533,-290434,1261950,"",""
534,-264988,1261950,"",""
535,-239542,1261950,"",""
536,-214096,1261950,"",""
